Year,Week,Age,Value
2015,28,65-69,1065.0
2015,28,70-74,1773.0
2015,28,75-79,2620.0
2015,28,80-84,2862.0
2015,28,85-89,3275.0
2015,28,90-94,2338.0
2015,28,95+,708.0
2015,28,Insgesamt,17361.0
2015,29,0-29,141.0
2015,29,30-34,56.0
2015,29,35-39,66.0
2015,29,40-44,109.0
2015,29,45-49,249.0
2015,29,50-54,485.0
2015,29,55-59,691.0
2015,29,60-64,889.0
2015,29,65-69,994.0
2015,29,70-74,1611.0
2015,29,75-79,2533.0
2015,29,80-84,2741.0
2015,29,85-89,2993.0
2015,29,90-94,2154.0
2015,29,95+,735.0
2015,29,Insgesamt,16447.0
2015,30,0-29,147.0
2015,30,30-34,53.0
2015,30,35-39,68.0
2015,30,40-44,112.0
2015,30,45-49,262.0
2015,30,50-54,427.0
2015,30,55-59,615.0
2015,30,60-64,902.0
2015,30,65-69,1000.0
2015,30,70-74,1593.0
2015,30,75-79,2526.0
2015,30,80-84,2788.0
2015,30,85-89,2960.0
2015,30,90-94,2095.0
2015,30,95+,724.0
2015,30,Insgesamt,16272.0
2015,31,0-29,157.0
2015,31,30-34,41.0
2015,31,35-39,72.0
2015,31,40-44,114.0
2015,31,45-49,215.0
2015,31,50-54,405.0
2015,31,55-59,632.0
2015,31,60-64,819.0
2015,31,65-69,1012.0
2015,31,70-74,1522.0
2015,31,75-79,2380.0
2015,31,80-84,2667.0
2015,31,85-89,2762.0
2015,31,90-94,1976.0
2015,31,95+,658.0
2015,31,Insgesamt,15432.0
2015,32,0-29,149.0
2015,32,30-34,50.0
2015,32,35-39,73.0
2015,32,40-44,109.0
2015,32,45-49,245.0
2015,32,50-54,447.0
2015,32,55-59,661.0
2015,32,60-64,942.0
2015,32,65-69,1091.0
2015,32,70-74,1523.0
2015,32,75-79,2591.0
2015,32,80-84,2767.0
2015,32,85-89,3083.0
2015,32,90-94,2179.0
2015,32,95+,741.0
2015,32,Insgesamt,16651.0
2015,33,0-29,163.0
2015,33,30-34,58.0
2015,33,35-39,58.0
2015,33,40-44,115.0
2015,33,45-49,232.0
2015,33,50-54,462.0
2015,33,55-59,626.0
2015,33,60-64,882.0
2015,33,65-69,1082.0
2015,33,70-74,1562.0
2015,33,75-79,2598.0
2015,33,80-84,2894.0
2015,33,85-89,3178.0
2015,33,90-94,2223.0
2015,33,95+,748.0
2015,33,Insgesamt,16881.0
2015,34,0-29,157.0
2015,34,30-34,54.0
2015,34,35-39,76.0
2015,34,40-44,113.0
2015,34,45-49,255.0
2015,34,50-54,449.0
2015,34,55-59,638.0
2015,34,60-64,859.0
2015,34,65-69,975.0
2015,34,70-74,1423.0
2015,34,75-79,2286.0
2015,34,80-84,2571.0
2015,34,85-89,2818.0
2015,34,90-94,1908.0
2015,34,95+,651.0
2015,34,Insgesamt,15233.0
2015,35,0-29,156.0
2015,35,30-34,54.0
2015,35,35-39,66.0
2015,35,40-44,99.0
2015,35,45-49,224.0
2015,35,50-54,452.0
2015,35,55-59,593.0
2015,35,60-64,839.0
2015,35,65-69,1018.0
2015,35,70-74,1586.0
2015,35,75-79,2450.0
2015,35,80-84,2696.0
2015,35,85-89,3066.0
2015,35,90-94,2104.0
2015,35,95+,714.0
2015,35,Insgesamt,16117.0
2015,36,0-29,124.0
2015,36,30-34,50.0
2015,36,35-39,65.0
2015,36,40-44,103.0
2015,36,45-49,229.0
2015,36,50-54,430.0
2015,36,55-59,653.0
2015,36,60-64,857.0
2015,36,65-69,1019.0
2015,36,70-74,1482.0
2015,36,75-79,2393.0
2015,36,80-84,2672.0
2015,36,85-89,2918.0
