Datum,Altersgruppe,Todesfaelle
2017-W39,70-74,1367
2017-W39,75-79,2542
2017-W39,80-84,3008
2017-W39,85-89,3096
2017-W39,90-94,2230
2017-W39,95+,905
2017-W39,Insgesamt,16747
2017-W4,0-29,170
2017-W4,30-34,57
2017-W4,35-39,63
2017-W4,40-44,109
2017-W4,45-49,227
2017-W4,50-54,442
2017-W4,55-59,717
2017-W4,60-64,1054
2017-W4,65-69,1260
2017-W4,70-74,1742
2017-W4,75-79,3226
2017-W4,80-84,3959
2017-W4,85-89,4405
2017-W4,90-94,3286
2017-W4,95+,1366
2017-W4,Insgesamt,22083
2017-W40,0-29,125
2017-W40,30-34,42
2017-W40,35-39,76
2017-W40,40-44,95
2017-W40,45-49,234
2017-W40,50-54,450
2017-W40,55-59,697
2017-W40,60-64,857
2017-W40,65-69,1095
2017-W40,70-74,1354
2017-W40,75-79,2487
2017-W40,80-84,2997
2017-W40,85-89,3009
2017-W40,90-94,2260
2017-W40,95+,886
2017-W40,Insgesamt,16664
2017-W41,0-29,133
2017-W41,30-34,50
2017-W41,35-39,73
2017-W41,40-44,88
2017-W41,45-49,196
2017-W41,50-54,449
2017-W41,55-59,643
2017-W41,60-64,905
2017-W41,65-69,1225
2017-W41,70-74,1385
2017-W41,75-79,2617
2017-W41,80-84,3180
2017-W41,85-89,3244
2017-W41,90-94,2333
2017-W41,95+,949
2017-W41,Insgesamt,17470
2017-W42,0-29,149
2017-W42,30-34,50
2017-W42,35-39,85
2017-W42,40-44,100
2017-W42,45-49,211
2017-W42,50-54,471
2017-W42,55-59,659
2017-W42,60-64,875
2017-W42,65-69,1215
2017-W42,70-74,1420
2017-W42,75-79,2460
2017-W42,80-84,3104
2017-W42,85-89,3074
2017-W42,90-94,2320
2017-W42,95+,946
2017-W42,Insgesamt,17139
2017-W43,0-29,155
2017-W43,30-34,53
2017-W43,35-39,73
2017-W43,40-44,100
2017-W43,45-49,210
2017-W43,50-54,423
2017-W43,55-59,636
2017-W43,60-64,907
2017-W43,65-69,1190
2017-W43,70-74,1389
2017-W43,75-79,2476
2017-W43,80-84,3046
2017-W43,85-89,3171
2017-W43,90-94,2339
2017-W43,95+,891
2017-W43,Insgesamt,17059
2017-W44,0-29,120
2017-W44,30-34,41
2017-W44,35-39,84
2017-W44,40-44,109
2017-W44,45-49,184
2017-W44,50-54,441
2017-W44,55-59,645
2017-W44,60-64,886
2017-W44,65-69,1168
2017-W44,70-74,1358
2017-W44,75-79,2486
2017-W44,80-84,2972
2017-W44,85-89,3015
2017-W44,90-94,2330
2017-W44,95+,923
2017-W44,Insgesamt,16762
2017-W45,0-29,145
2017-W45,30-34,45
2017-W45,35-39,63
2017-W45,40-44,93
2017-W45,45-49,208
2017-W45,50-54,431
2017-W45,55-59,656
2017-W45,60-64,909
2017-W45,65-69,1214
2017-W45,70-74,1381
2017-W45,75-79,2618
2017-W45,80-84,3103
2017-W45,85-89,3253
2017-W45,90-94,2307
2017-W45,95+,945
2017-W45,Insgesamt,17371
2017-W46,0-29,133
2017-W46,30-34,56
2017-W46,35-39,82
2017-W46,40-44,92
2017-W46,45-49,220
2017-W46,50-54,474
2017-W46,55-59,660
2017-W46,60-64,947
2017-W46,65-69,1245
2017-W46,70-74,1384
2017-W46,75-79,2616
2017-W46,80-84,3156
2017-W46,85-89,3218
2017-W46,90-94,2372
2017-W46,95+,939
2017-W46,Insgesamt,17594
2017-W47,0-29,136
2017-W47,30-34,52
2017-W47,35-39,71
2017-W47,40-44,89
2017-W47,45-49,233
2017-W47,50-54,450
2017-W47,55-59,659
2017-W47,60-64,914
2017-W47,65-69,1263
2017-W47,70-74,1462
2017-W47,75-79,2460
2017-W47,80-84,3222
2017-W47,85-89,3296
2017-W47,90-94,2374
2017-W47,95+,995
2017-W47,Insgesamt,17676
2017-W48,0-29,132
2017-W48,30-34,42
2017-W48,35-39,75
2017-W48,40-44,108
2017-W48,45-49,226
2017-W48,50-54,465
2017-W48,55-59,657
2017-W48,60-64,931
2017-W48,65-69,1279
2017-W48,70-74,1437
2017-W48,75-79,2648
2017-W48,80-84,3227
2017-W48,85-89,3231
2017-W48,90-94,2477
2017-W48,95+,942
2017-W48,Insgesamt,17877
2017-W49,0-29,163
2017-W49,30-34,54
2017-W49,35-39,71
2017-W49,40-44,101
2017-W49,45-49,207
2017-W49,50-54,465
2017-W49,55-59,676
2017-W49,60-64,878
2017-W49,65-69,1241
2017-W49,70-74,1507
2017-W49,75-79,2733
2017-W49,80-84,3294
2017-W49,85-89,3455
2017-W49,90-94,2461
2017-W49,95+,989
2017-W49,Insgesamt,18295
2017-W5,0-29,156
2017-W5,30-34,44
2017-W5,35-39,54
2017-W5,40-44,110
2017-W5,45-49,245
2017-W5,50-54,493
2017-W5,55-59,839
2017-W5,60-64,992
2017-W5,65-69,1458
2017-W5,70-74,1848
2017-W5,75-79,3493
2017-W5,80-84,4102
2017-W5,85-89,4710
2017-W5,90-94,3675
2017-W5,95+,1421
2017-W5,Insgesamt,23640
2017-W50,0-29,142
2017-W50,30-34,47
2017-W50,35-39,75
2017-W50,40-44,88
2017-W50,45-49,215
2017-W50,50-54,446
2017-W50,55-59,677
2017-W50,60-64,935
2017-W50,65-69,1186
2017-W50,70-74,1488
2017-W50,75-79,2779
2017-W50,80-84,3512
2017-W50,85-89,3452
2017-W50,90-94,2434
2017-W50,95+,1028
2017-W50,Insgesamt,18504
2017-W51,0-29,129
2017-W51,30-34,41
2017-W51,35-39,65
2017-W51,40-44,105
2017-W51,45-49,194
2017-W51,50-54,419
2017-W51,55-59,676
2017-W51,60-64,1013
2017-W51,65-69,1218
2017-W51,70-74,1466
2017-W51,75-79,2746
2017-W51,80-84,3389
2017-W51,85-89,3439
2017-W51,90-94,2540
2017-W51,95+,1060
2017-W51,Insgesamt,18500
2017-W52,0-29,165
2017-W52,30-34,45
2017-W52,35-39,85
2017-W52,40-44,103
2017-W52,45-49,215
2017-W52,50-54,419
2017-W52,55-59,643
2017-W52,60-64,970
2017-W52,65-69,1277
2017-W52,70-74,1439
2017-W52,75-79,2726
2017-W52,80-84,3313
2017-W52,85-89,3554
2017-W52,90-94,2651
2017-W52,95+,1047
2017-W52,Insgesamt,18652
2017-W53,0-29,
2017-W53,30-34,
2017-W53,35-39,
2017-W53,40-44,
2017-W53,45-49,
2017-W53,50-54,
2017-W53,55-59,
2017-W53,60-64,
2017-W53,65-69,
2017-W53,70-74,
2017-W53,75-79,
2017-W53,80-84,
2017-W53,85-89,
2017-W53,90-94,
2017-W53,95+,
2017-W53,Insgesamt,
2017-W6,0-29,148
2017-W6,30-34,50
2017-W6,35-39,92
2017-W6,40-44,102
2017-W6,45-49,261
2017-W6,50-54,498
2017-W6,55-59,725
2017-W6,60-64,1027
2017-W6,65-69,1347
2017-W6,70-74,1781
2017-W6,75-79,3343
2017-W6,80-84,4046
2017-W6,85-89,4545
2017-W6,90-94,3400
2017-W6,95+,1379
2017-W6,Insgesamt,22744
2017-W7,0-29,154
2017-W7,30-34,45
2017-W7,35-39,84
2017-W7,40-44,132
2017-W7,45-49,228
2017-W7,50-54,490
2017-W7,55-59,751
2017-W7,60-64,1051
2017-W7,65-69,1277
2017-W7,70-74,1758
2017-W7,75-79,3436
2017-W7,80-84,4026
2017-W7,85-89,4418
2017-W7,90-94,3513
2017-W7,95+,1320
2017-W7,Insgesamt,22683
2017-W8,0-29,175
2017-W8,30-34,59
2017-W8,35-39,85
2017-W8,40-44,126
2017-W8,45-49,244
2017-W8,50-54,432
2017-W8,55-59,739
2017-W8,60-64,1020
2017-W8,65-69,1381
2017-W8,70-74,1759
2017-W8,75-79,3220
2017-W8,80-84,3888
2017-W8,85-89,4466
2017-W8,90-94,3371
2017-W8,95+,1301
2017-W8,Insgesamt,22266
2017-W9,0-29,154
2017-W9,30-34,63
2017-W9,35-39,61
2017-W9,40-44,105
2017-W9,45-49,291
2017-W9,50-54,438
2017-W9,55-59,706
2017-W9,60-64,938
2017-W9,65-69,1312
2017-W9,70-74,1612
2017-W9,75-79,3099
2017-W9,80-84,3780
2017-W9,85-89,4048
2017-W9,90-94,3018
2017-W9,95+,1305
2017-W9,Insgesamt,20930
2018-W1,0-29,159
2018-W1,30-34,57
2018-W1,35-39,77
2018-W1,40-44,112
2018-W1,45-49,246
2018-W1,50-54,439
2018-W1,55-59,728
2018-W1,60-64,962
2018-W1,65-69,1290
2018-W1,70-74,1499
2018-W1,75-79,2722
2018-W1,80-84,3482
2018-W1,85-89,3706
2018-W1,90-94,2760
2018-W1,95+,1103
2018-W1,Insgesamt,19342
2018-W10,0-29,172
2018-W10,30-34,61
2018-W10,35-39,85
2018-W10,40-44,122
2018-W10,45-49,276
2018-W10,50-54,570
2018-W10,55-59,880
2018-W10,60-64,1274
2018-W10,65-69,1729
2018-W10,70-74,1967
2018-W10,75-79,3783
2018-W10,80-84,4888
2018-W10,85-89,5294
2018-W10,90-94,3982
2018-W10,95+,1694
2018-W10,Insgesamt,26777
2018-W11,0-29,158
2018-W11,30-34,60
2018-W11,35-39,79
2018-W11,40-44,110
2018-W11,45-49,242
2018-W11,50-54,493
2018-W11,55-59,880
2018-W11,60-64,1134
2018-W11,65-69,1557
2018-W11,70-74,1891
2018-W11,75-79,3447
2018-W11,80-84,4592
2018-W11,85-89,4627
2018-W11,90-94,3580
2018-W11,95+,1535
2018-W11,Insgesamt,24385
2018-W12,0-29,143
2018-W12,30-34,41
2018-W12,35-39,82
2018-W12,40-44,124
2018-W12,45-49,243
2018-W12,50-54,470
2018-W12,55-59,836
2018-W12,60-64,1085
2018-W12,65-69,1499
2018-W12,70-74,1767
2018-W12,75-79,3246
2018-W12,80-84,4063
2018-W12,85-89,4409
2018-W12,90-94,3364
2018-W12,95+,1405
2018-W12,Insgesamt,22777
2018-W13,0-29,150
2018-W13,30-34,49
2018-W13,35-39,78
2018-W13,40-44,106
2018-W13,45-49,209
2018-W13,50-54,463
2018-W13,55-59,742
2018-W13,60-64,991
2018-W13,65-69,1355
2018-W13,70-74,1586
2018-W13,75-79,3076
2018-W13,80-84,3886
2018-W13,85-89,3940
2018-W13,90-94,3048
2018-W13,95+,1227
2018-W13,Insgesamt,20906
2018-W14,0-29,163
2018-W14,30-34,51
2018-W14,35-39,74
2018-W14,40-44,121
2018-W14,45-49,225
2018-W14,50-54,447
2018-W14,55-59,773
2018-W14,60-64,1057
2018-W14,65-69,1340
2018-W14,70-74,1562
2018-W14,75-79,2851
2018-W14,80-84,3644
2018-W14,85-89,3704
2018-W14,90-94,2865
2018-W14,95+,1161
2018-W14,Insgesamt,20038
2018-W15,0-29,152
2018-W15,30-34,48
2018-W15,35-39,76
2018-W15,40-44,106
2018-W15,45-49,207
2018-W15,50-54,455
2018-W15,55-59,709
2018-W15,60-64,961
2018-W15,65-69,1307
2018-W15,70-74,1537
2018-W15,75-79,2800
2018-W15,80-84,3512
2018-W15,85-89,3567
2018-W15,90-94,2578
2018-W15,95+,1150
2018-W15,Insgesamt,19165
2018-W16,0-29,154
2018-W16,30-34,51
2018-W16,35-39,92
2018-W16,40-44,90
2018-W16,45-49,226
2018-W16,50-54,428
2018-W16,55-59,737
2018-W16,60-64,936
2018-W16,65-69,1266
2018-W16,70-74,1410
2018-W16,75-79,2624
2018-W16,80-84,3301
2018-W16,85-89,3160
2018-W16,90-94,2524
2018-W16,95+,993
2018-W16,Insgesamt,17992
2018-W17,0-29,158
2018-W17,30-34,49
2018-W17,35-39,60
2018-W17,40-44,110
2018-W17,45-49,185
2018-W17,50-54,437
2018-W17,55-59,675
2018-W17,60-64,928
2018-W17,65-69,1214
2018-W17,70-74,1380
2018-W17,75-79,2525
2018-W17,80-84,3067
2018-W17,85-89,3129
2018-W17,90-94,2258
2018-W17,95+,918
2018-W17,Insgesamt,17093
2018-W18,0-29,145
2018-W18,30-34,40
2018-W18,35-39,86
2018-W18,40-44,101
2018-W18,45-49,208
2018-W18,50-54,427
2018-W18,55-59,677
2018-W18,60-64,899
2018-W18,65-69,1168
2018-W18,70-74,1336
2018-W18,75-79,2499
2018-W18,80-84,3066
2018-W18,85-89,3046
2018-W18,90-94,2151
2018-W18,95+,940
2018-W18,Insgesamt,16789
2018-W19,0-29,141
2018-W19,30-34,42
2018-W19,35-39,86
2018-W19,40-44,135
2018-W19,45-49,208
2018-W19,50-54,404
2018-W19,55-59,674
2018-W19,60-64,905
2018-W19,65-69,1211
2018-W19,70-74,1382
2018-W19,75-79,2515
2018-W19,80-84,3159
2018-W19,85-89,3120
2018-W19,90-94,2255
2018-W19,95+,989
2018-W19,Insgesamt,17226
2018-W2,0-29,148
2018-W2,30-34,66
2018-W2,35-39,65
2018-W2,40-44,102
2018-W2,45-49,233
2018-W2,50-54,448
2018-W2,55-59,727
2018-W2,60-64,985
2018-W2,65-69,1256
2018-W2,70-74,1504
2018-W2,75-79,2731
2018-W2,80-84,3365
2018-W2,85-89,3429
2018-W2,90-94,2617
2018-W2,95+,1094
2018-W2,Insgesamt,18770
2018-W20,0-29,125
2018-W20,30-34,45
2018-W20,35-39,67
2018-W20,40-44,98
2018-W20,45-49,197
2018-W20,50-54,398
2018-W20,55-59,656
2018-W20,60-64,898
2018-W20,65-69,1204
2018-W20,70-74,1324
2018-W20,75-79,2327
2018-W20,80-84,3102
2018-W20,85-89,3000
2018-W20,90-94,2210
2018-W20,95+,837
2018-W20,Insgesamt,16488
2018-W21,0-29,145
2018-W21,30-34,66
2018-W21,35-39,84
2018-W21,40-44,96
2018-W21,45-49,200
2018-W21,50-54,418
2018-W21,55-59,677
2018-W21,60-64,896
2018-W21,65-69,1200
2018-W21,70-74,1259
2018-W21,75-79,2357
2018-W21,80-84,3100
2018-W21,85-89,2988
2018-W21,90-94,2178
2018-W21,95+,849
2018-W21,Insgesamt,16513
2018-W22,0-29,134
2018-W22,30-34,62
2018-W22,35-39,64
2018-W22,40-44,88
2018-W22,45-49,217
2018-W22,50-54,448
2018-W22,55-59,665
2018-W22,60-64,883
2018-W22,65-69,1165
2018-W22,70-74,1399
2018-W22,75-79,2406
2018-W22,80-84,3127
2018-W22,85-89,3088
2018-W22,90-94,2316
2018-W22,95+,977
2018-W22,Insgesamt,17039
2018-W23,0-29,169
2018-W23,30-34,49
2018-W23,35-39,71
2018-W23,40-44,123
2018-W23,45-49,203
2018-W23,50-54,437
2018-W23,55-59,637
2018-W23,60-64,921
2018-W23,65-69,1181
2018-W23,70-74,1288
2018-W23,75-79,2466
2018-W23,80-84,3108
2018-W23,85-89,2925
2018-W23,90-94,2193
2018-W23,95+,943
2018-W23,Insgesamt,16714
2018-W24,0-29,150
2018-W24,30-34,50
2018-W24,35-39,57
2018-W24,40-44,84
2018-W24,45-49,194
2018-W24,50-54,430
2018-W24,55-59,640
2018-W24,60-64,888
2018-W24,65-69,1099
2018-W24,70-74,1269
2018-W24,75-79,2305
2018-W24,80-84,2806
2018-W24,85-89,2794
2018-W24,90-94,2041
2018-W24,95+,775
2018-W24,Insgesamt,15582
2018-W25,0-29,158
2018-W25,30-34,39
2018-W25,35-39,85
2018-W25,40-44,92
2018-W25,45-49,217
2018-W25,50-54,430
2018-W25,55-59,630
2018-W25,60-64,895
2018-W25,65-69,1097
2018-W25,70-74,1267
2018-W25,75-79,2311
2018-W25,80-84,2938
2018-W25,85-89,2738
2018-W25,90-94,2077
2018-W25,95+,869
2018-W25,Insgesamt,15843
2018-W26,0-29,155
2018-W26,30-34,53
2018-W26,35-39,82
2018-W26,40-44,96
2018-W26,45-49,205
2018-W26,50-54,425
2018-W26,55-59,665
2018-W26,60-64,939
2018-W26,65-69,1155
2018-W26,70-74,1341
2018-W26,75-79,2398
2018-W26,80-84,3072
2018-W26,85-89,2905
2018-W26,90-94,2241
2018-W26,95+,837
2018-W26,Insgesamt,16569
2018-W27,0-29,152
2018-W27,30-34,55
2018-W27,35-39,67
2018-W27,40-44,94
2018-W27,45-49,199
2018-W27,50-54,414
2018-W27,55-59,674
2018-W27,60-64,895
2018-W27,65-69,1134
2018-W27,70-74,1360
2018-W27,75-79,2383
2018-W27,80-84,3041
2018-W27,85-89,2940
2018-W27,90-94,2339
2018-W27,95+,875
2018-W27,Insgesamt,16622
2018-W28,0-29,150
2018-W28,30-34,53
2018-W28,35-39,75
2018-W28,40-44,120
2018-W28,45-49,211
2018-W28,50-54,383
2018-W28,55-59,654
2018-W28,60-64,874
2018-W28,65-69,1225
2018-W28,70-74,1283
2018-W28,75-79,2275
2018-W28,80-84,2899
2018-W28,85-89,2878
2018-W28,90-94,2125
2018-W28,95+,865
2018-W28,Insgesamt,16070
2018-W29,0-29,150
2018-W29,30-34,44
2018-W29,35-39,74
2018-W29,40-44,116
2018-W29,45-49,219
2018-W29,50-54,391
2018-W29,55-59,648
2018-W29,60-64,898
2018-W29,65-69,1245
2018-W29,70-74,1353
2018-W29,75-79,2375
2018-W29,80-84,2973
2018-W29,85-89,3005
2018-W29,90-94,2283
2018-W29,95+,928
2018-W29,Insgesamt,16702
2018-W3,0-29,152
2018-W3,30-34,51
2018-W3,35-39,63
2018-W3,40-44,113
2018-W3,45-49,254
2018-W3,50-54,479
2018-W3,55-59,698
2018-W3,60-64,1002
2018-W3,65-69,1313
2018-W3,70-74,1489
2018-W3,75-79,2887
2018-W3,80-84,3452
2018-W3,85-89,3543
2018-W3,90-94,2601
2018-W3,95+,1090
2018-W3,Insgesamt,19187
2018-W30,0-29,157
2018-W30,30-34,72
2018-W30,35-39,80
2018-W30,40-44,111
2018-W30,45-49,223
2018-W30,50-54,430
2018-W30,55-59,671
2018-W30,60-64,955
2018-W30,65-69,1197
2018-W30,70-74,1448
2018-W30,75-79,2617
2018-W30,80-84,3467
2018-W30,85-89,3349
2018-W30,90-94,2513
2018-W30,95+,1050
2018-W30,Insgesamt,18340
2018-W31,0-29,165
2018-W31,30-34,52
2018-W31,35-39,89
2018-W31,40-44,124
2018-W31,45-49,212
2018-W31,50-54,487
2018-W31,55-59,768
2018-W31,60-64,1006
2018-W31,65-69,1399
2018-W31,70-74,1561
2018-W31,75-79,2868
2018-W31,80-84,3751
2018-W31,85-89,3859
2018-W31,90-94,2842
2018-W31,95+,1188
2018-W31,Insgesamt,20371
2018-W32,0-29,166
2018-W32,30-34,60
2018-W32,35-39,72
2018-W32,40-44,102
2018-W32,45-49,220
2018-W32,50-54,441
2018-W32,55-59,686
2018-W32,60-64,926
2018-W32,65-69,1294
2018-W32,70-74,1442
2018-W32,75-79,2674
2018-W32,80-84,3420
2018-W32,85-89,3403
2018-W32,90-94,2521
2018-W32,95+,1051
2018-W32,Insgesamt,18478
2018-W33,0-29,153
2018-W33,30-34,49
2018-W33,35-39,74
2018-W33,40-44,108
2018-W33,45-49,195
2018-W33,50-54,420
2018-W33,55-59,628
2018-W33,60-64,905
2018-W33,65-69,1186
2018-W33,70-74,1356
2018-W33,75-79,2515
2018-W33,80-84,3088
2018-W33,85-89,3015
2018-W33,90-94,2305
2018-W33,95+,893
2018-W33,Insgesamt,16890
2018-W34,0-29,158
2018-W34,30-34,55
2018-W34,35-39,74
2018-W34,40-44,97
2018-W34,45-49,210
2018-W34,50-54,393
2018-W34,55-59,673
2018-W34,60-64,892
2018-W34,65-69,1199
2018-W34,70-74,1282
2018-W34,75-79,2308
2018-W34,80-84,3085
2018-W34,85-89,3043
2018-W34,90-94,2283
2018-W34,95+,860
2018-W34,Insgesamt,16612
2018-W35,0-29,124
2018-W35,30-34,38
2018-W35,35-39,63
2018-W35,40-44,93
2018-W35,45-49,208
2018-W35,50-54,409
2018-W35,55-59,642
2018-W35,60-64,866
2018-W35,65-69,1162
2018-W35,70-74,1268
2018-W35,75-79,2262
2018-W35,80-84,2930
2018-W35,85-89,2947
2018-W35,90-94,2116
2018-W35,95+,872
2018-W35,Insgesamt,16000
2018-W36,0-29,134
2018-W36,30-34,48
2018-W36,35-39,74
2018-W36,40-44,90
2018-W36,45-49,191
2018-W36,50-54,418
2018-W36,55-59,654
2018-W36,60-64,860
2018-W36,65-69,1200
2018-W36,70-74,1389
2018-W36,75-79,2296
2018-W36,80-84,3090
2018-W36,85-89,2908
2018-W36,90-94,2138
2018-W36,95+,900
2018-W36,Insgesamt,16390
2018-W37,0-29,144
2018-W37,30-34,55
2018-W37,35-39,60
2018-W37,40-44,109
2018-W37,45-49,215
2018-W37,50-54,394
2018-W37,55-59,633
2018-W37,60-64,867
2018-W37,65-69,1156
2018-W37,70-74,1292
2018-W37,75-79,2313
2018-W37,80-84,3070
2018-W37,85-89,2925
2018-W37,90-94,2205
2018-W37,95+,854
2018-W37,Insgesamt,16292
2018-W38,0-29,155
2018-W38,30-34,47
2018-W38,35-39,66
2018-W38,40-44,93
2018-W38,45-49,197
2018-W38,50-54,441
2018-W38,55-59,640
2018-W38,60-64,936
2018-W38,65-69,1191
2018-W38,70-74,1314
2018-W38,75-79,2351
2018-W38,80-84,3085
2018-W38,85-89,2910
2018-W38,90-94,2299
2018-W38,95+,926
2018-W38,Insgesamt,16651
2018-W39,0-29,131
2018-W39,30-34,39
2018-W39,35-39,59
2018-W39,40-44,101
2018-W39,45-49,187
2018-W39,50-54,402
2018-W39,55-59,662
2018-W39,60-64,846
2018-W39,65-69,1152
2018-W39,70-74,1224
2018-W39,75-79,2309
2018-W39,80-84,3000
2018-W39,85-89,2836
2018-W39,90-94,2147
2018-W39,95+,874
2018-W39,Insgesamt,15969
2018-W4,0-29,170
2018-W4,30-34,44
2018-W4,35-39,73
2018-W4,40-44,120
2018-W4,45-49,216
2018-W4,50-54,420
2018-W4,55-59,714
2018-W4,60-64,1005
2018-W4,65-69,1264
2018-W4,70-74,1476
2018-W4,75-79,2816
2018-W4,80-84,3502
2018-W4,85-89,3543
2018-W4,90-94,2719
2018-W4,95+,1089
2018-W4,Insgesamt,19171
2018-W40,0-29,148
2018-W40,30-34,46
2018-W40,35-39,66
2018-W40,40-44,98
2018-W40,45-49,209
2018-W40,50-54,419
2018-W40,55-59,670
2018-W40,60-64,927
2018-W40,65-69,1218
2018-W40,70-74,1382
2018-W40,75-79,2283
2018-W40,80-84,3080
2018-W40,85-89,2950
2018-W40,90-94,2250
2018-W40,95+,876
2018-W40,Insgesamt,16622
2018-W41,0-29,161
2018-W41,30-34,45
2018-W41,35-39,80
2018-W41,40-44,107
2018-W41,45-49,193
2018-W41,50-54,422
2018-W41,55-59,656
2018-W41,60-64,879
2018-W41,65-69,1180
2018-W41,70-74,1361
2018-W41,75-79,2447
2018-W41,80-84,3170
2018-W41,85-89,3095
2018-W41,90-94,2268
2018-W41,95+,929
2018-W41,Insgesamt,16993
2018-W42,0-29,148
2018-W42,30-34,38
2018-W42,35-39,61
2018-W42,40-44,90
2018-W42,45-49,186
2018-W42,50-54,407
2018-W42,55-59,688
2018-W42,60-64,888
2018-W42,65-69,1159
2018-W42,70-74,1360
2018-W42,75-79,2427
2018-W42,80-84,3000
2018-W42,85-89,2907
2018-W42,90-94,2270
2018-W42,95+,923
2018-W42,Insgesamt,16552
2018-W43,0-29,132
2018-W43,30-34,55
2018-W43,35-39,62
2018-W43,40-44,100
2018-W43,45-49,206
2018-W43,50-54,420
2018-W43,55-59,643
2018-W43,60-64,880
2018-W43,65-69,1157
2018-W43,70-74,1319
2018-W43,75-79,2372
2018-W43,80-84,3139
2018-W43,85-89,2964
2018-W43,90-94,2226
2018-W43,95+,933
2018-W43,Insgesamt,16608
2018-W44,0-29,135
2018-W44,30-34,42
2018-W44,35-39,75
2018-W44,40-44,96
2018-W44,45-49,197
2018-W44,50-54,393
2018-W44,55-59,704
2018-W44,60-64,875
2018-W44,65-69,1178
2018-W44,70-74,1305
2018-W44,75-79,2457
2018-W44,80-84,3265
2018-W44,85-89,2960
2018-W44,90-94,2273
2018-W44,95+,940
2018-W44,Insgesamt,16895
2018-W45,0-29,145
2018-W45,30-34,54
2018-W45,35-39,85
2018-W45,40-44,99
2018-W45,45-49,176
2018-W45,50-54,420
2018-W45,55-59,713
2018-W45,60-64,925
2018-W45,65-69,1260
2018-W45,70-74,1392
2018-W45,75-79,2475
2018-W45,80-84,3287
2018-W45,85-89,3155
2018-W45,90-94,2423
2018-W45,95+,995
2018-W45,Insgesamt,17604
2018-W46,0-29,146
2018-W46,30-34,47
2018-W46,35-39,71
2018-W46,40-44,93
2018-W46,45-49,198
2018-W46,50-54,387
2018-W46,55-59,680
2018-W46,60-64,899
2018-W46,65-69,1229
2018-W46,70-74,1357
2018-W46,75-79,2413
2018-W46,80-84,3144
2018-W46,85-89,3047
2018-W46,90-94,2251
2018-W46,95+,880
2018-W46,Insgesamt,16842
2018-W47,0-29,164
2018-W47,30-34,56
2018-W47,35-39,83
2018-W47,40-44,100
2018-W47,45-49,199
2018-W47,50-54,434
2018-W47,55-59,657
2018-W47,60-64,928
2018-W47,65-69,1189
2018-W47,70-74,1346
2018-W47,75-79,2580
2018-W47,80-84,3465
2018-W47,85-89,3261
2018-W47,90-94,2307
2018-W47,95+,1016
2018-W47,Insgesamt,17785
2018-W48,0-29,123
2018-W48,30-34,48
2018-W48,35-39,75
2018-W48,40-44,94
2018-W48,45-49,209
2018-W48,50-54,444
2018-W48,55-59,702
2018-W48,60-64,948
2018-W48,65-69,1196
2018-W48,70-74,1377
2018-W48,75-79,2608
2018-W48,80-84,3556
2018-W48,85-89,3168
2018-W48,90-94,2545
2018-W48,95+,998
2018-W48,Insgesamt,18091
2018-W49,0-29,129
2018-W49,30-34,52
2018-W49,35-39,78
2018-W49,40-44,120
2018-W49,45-49,195
2018-W49,50-54,410
2018-W49,55-59,666
2018-W49,60-64,941
2018-W49,65-69,1244
2018-W49,70-74,1462
2018-W49,75-79,2591
2018-W49,80-84,3519
2018-W49,85-89,3343
2018-W49,90-94,2556
2018-W49,95+,1036
2018-W49,Insgesamt,18342
2018-W5,0-29,160
2018-W5,30-34,46
2018-W5,35-39,60
2018-W5,40-44,108
2018-W5,45-49,235
2018-W5,50-54,455
2018-W5,55-59,747
2018-W5,60-64,970
2018-W5,65-69,1290
2018-W5,70-74,1555
2018-W5,75-79,2927
2018-W5,80-84,3559
2018-W5,85-89,3624
2018-W5,90-94,2692
2018-W5,95+,1130
2018-W5,Insgesamt,19558
2018-W50,0-29,136
2018-W50,30-34,53
2018-W50,35-39,80
2018-W50,40-44,101
2018-W50,45-49,195
2018-W50,50-54,388
2018-W50,55-59,692
2018-W50,60-64,915
2018-W50,65-69,1269
2018-W50,70-74,1457
2018-W50,75-79,2569
2018-W50,80-84,3442
2018-W50,85-89,3161
2018-W50,90-94,2479
2018-W50,95+,1006
2018-W50,Insgesamt,17943
2018-W51,0-29,168
2018-W51,30-34,45
2018-W51,35-39,71
2018-W51,40-44,109
2018-W51,45-49,202
2018-W51,50-54,413
2018-W51,55-59,709
2018-W51,60-64,981
2018-W51,65-69,1287
2018-W51,70-74,1508
2018-W51,75-79,2634
2018-W51,80-84,3680
2018-W51,85-89,3395
2018-W51,90-94,2629
2018-W51,95+,1159
2018-W51,Insgesamt,18990
2018-W52,0-29,134
2018-W52,30-34,47
2018-W52,35-39,56
2018-W52,40-44,100
2018-W52,45-49,184
2018-W52,50-54,414
2018-W52,55-59,650
2018-W52,60-64,935
2018-W52,65-69,1183
2018-W52,70-74,1339
2018-W52,75-79,2524
2018-W52,80-84,3452
2018-W52,85-89,3238
2018-W52,90-94,2631
2018-W52,95+,1067
2018-W52,Insgesamt,17954
2018-W53,0-29,
2018-W53,30-34,
2018-W53,35-39,
2018-W53,40-44,
2018-W53,45-49,
2018-W53,50-54,
2018-W53,55-59,
2018-W53,60-64,
2018-W53,65-69,
2018-W53,70-74,
2018-W53,75-79,
2018-W53,80-84,
2018-W53,85-89,
2018-W53,90-94,
2018-W53,95+,
2018-W53,Insgesamt,
2018-W6,0-29,172
2018-W6,30-34,59
