Datum,Altersgruppe,Todesfaelle
2015-W51,50-54,421
2015-W51,55-59,657
2015-W51,60-64,907
2015-W51,65-69,1155
2015-W51,70-74,1586
2015-W51,75-79,2674
2015-W51,80-84,2916
2015-W51,85-89,3319
2015-W51,90-94,2404
2015-W51,95+,726
2015-W51,Insgesamt,17408
2015-W52,0-29,137
2015-W52,30-34,48
2015-W52,35-39,87
2015-W52,40-44,119
2015-W52,45-49,230
2015-W52,50-54,456
2015-W52,55-59,663
2015-W52,60-64,819
2015-W52,65-69,1106
2015-W52,70-74,1569
2015-W52,75-79,2593
2015-W52,80-84,2932
2015-W52,85-89,3357
2015-W52,90-94,2262
2015-W52,95+,798
2015-W52,Insgesamt,17176
2015-W53,0-29,153
2015-W53,30-34,70
2015-W53,35-39,75
2015-W53,40-44,110
2015-W53,45-49,225
2015-W53,50-54,460
2015-W53,55-59,676
2015-W53,60-64,878
2015-W53,65-69,1096
2015-W53,70-74,1546
2015-W53,75-79,2601
2015-W53,80-84,2928
2015-W53,85-89,3307
2015-W53,90-94,2291
2015-W53,95+,794
2015-W53,Insgesamt,17210
2015-W6,0-29,169
2015-W6,30-34,59
2015-W6,35-39,64
2015-W6,40-44,133
2015-W6,45-49,304
2015-W6,50-54,515
2015-W6,55-59,725
2015-W6,60-64,979
2015-W6,65-69,1183
2015-W6,70-74,1938
2015-W6,75-79,3040
2015-W6,80-84,3591
2015-W6,85-89,4249
2015-W6,90-94,3012
2015-W6,95+,944
2015-W6,Insgesamt,20905
2015-W7,0-29,173
2015-W7,30-34,51
2015-W7,35-39,68
2015-W7,40-44,120
2015-W7,45-49,284
2015-W7,50-54,505
2015-W7,55-59,693
2015-W7,60-64,1108
2015-W7,65-69,1220
2015-W7,70-74,2069
2015-W7,75-79,3325
2015-W7,80-84,3677
2015-W7,85-89,4595
2015-W7,90-94,3423
2015-W7,95+,1084
2015-W7,Insgesamt,22395
2015-W8,0-29,158
2015-W8,30-34,56
2015-W8,35-39,66
2015-W8,40-44,147
2015-W8,45-49,312
2015-W8,50-54,499
2015-W8,55-59,740
2015-W8,60-64,1114
2015-W8,65-69,1325
2015-W8,70-74,2103
2015-W8,75-79,3287
2015-W8,80-84,3896
2015-W8,85-89,4757
2015-W8,90-94,3707
2015-W8,95+,1097
